Folder,date,name,keycode,VUV,MFCC0,mean_f0,F1,F2,arousal,dominance,valence,angry,disgusted,fearful,happy,neutral,sad,surprised,std_f0,std_arousal,std_valence,falling_ratio,falling-rising_ratio,rising_ratio,rising-falling_ratio,Audio Length,sentence_counts,word_counts,speaking_rate_w,syll_counts,speaking_rate_s,text,win,gender
2024-09-01_14-04-30_UTC_Colin_Allred_C_YJAkbRWX8,2024/9/1,Colin Allred,C_YJAkbRWX8,0.8088582238857142,-0.19949558193420436,179.66849312196445,968.172183431662,1961.5999703415796,0.2637491405933441,0.7314847187272727,-0.15646647762334712,0.05522269804531918,0.005992677796880662,0.001019435348198919,0.07460110427909081,0.8498087667364194,0.004781084395609863,0.005707993768265569,41.55323691735449,0.22533810365859008,0.23412643617503026,0.1428571428571428,0.7142857142857143,0.0,0.1428571428571428,15.4,7,59,3.831168831168831,75,4.87012987012987," This is a close race.  then you should lose your job.  You helped elect the legislators who passed these laws at the state level  because you called for these laws to be passed.  You celebrated when they were passed.  You know what this margin is?  This is a margin that you can make happen, that we can make happen.",L,M
2024-09-01_15-16-33_UTC_Elissa_Slotkin_C_YRR3ZviLI,2024/9/1,Elissa Slotkin,C_YRR3ZviLI,0.489579027953642,-0.2950216256131222,264.5986047278049,786.9254289211945,2119.202196108926,0.30243337040502255,0.7464803219707192,0.03576281678218921,0.537005403963303,0.006345848325759743,0.0007361018293562535,0.07024141748743729,0.3815046768793706,0.0008432029040141349,7.81539009331881e-05,26.74874911608231,0.1054027035903097,0.2323096585462139,0.3636363636363636,0.4545454545454545,0.0909090909090909,0.0909090909090909,24.037981859410436,11,85,3.506600660066008,124,5.115511551155117," I wanna be a part of that different generation.  I keep telling people,  Gen X and the millennials are coming to the Senate.  and be a part of that generation that plays more offense.  So that instead of talking about their project 2025,  we have our project 2025, right?  Instead of waiting for their terrible state laws,  we show them our good state laws.  We have a plan and a strategy.  That comes from my prior life.  I wanna bring that into my future life.",W,F
2024-09-01_15-51-36_UTC_Dave_McCormick_C_YUfsLO9Zb,2024/9/1,Dave McCormick,C_YUfsLO9Zb,0.731735406072942,-0.22621568956405275,116.98909192727956,743.5384808389472,1824.4341654164086,-0.3258186620664391,0.5299978956437578,-0.14771166882470857,0.0001505417759945982,0.00010847869640074698,3.75713127082115e-05,0.0008895733847058106,0.8901964643288248,0.10772502361191433,5.415288923840772e-06,27.45995844952974,0.11801391627171001,0.2712265158694237,0.2666666666666666,0.3333333333333333,0.0666666666666666,0.3333333333333333,42.51698412698413,15,122,2.8692380056444025,181,4.256820319849482," at this horribly difficult time and praying.  of hersh goldberg poland and uh...  precious supporters and friends many times on the weekend vigils in Pittsburgh.  that we need to bring our hostages home.  and more vigilant than ever.  Dina and I were just heartbroken to learn this morning.  for them, praying for them.  and had a chance to pray with  and support Israel in doing so.  Dean and I had a chance to meet with Hersh's mom and dad in Israel early in the new year,  John and Rachel.  and five other hostages yesterday by Hamas.  The absolute murder, just a reminder of the viciousness, the brutality,  the absolute evil of Hamas and the need to eradicate Hamas.  We're just so heartbroken.",W,M
2024-09-01_20-01-34_UTC_Bob_Casey_C_Yx639B6jz,2024/9/1,Bob Casey,C_Yx639B6jz,0.862695370922023,-0.36176196368778213,163.12443704808436,601.0680274581154,1601.1983165038716,0.16149936186637207,0.7146197426343519,-0.20586172169533268,0.31619619883119665,0.007899065205661832,0.0003736161359855194,0.023878675422676462,0.6005623782340579,0.0011290944923057153,0.0004501103240999745,15.304623010995885,0.19220116738064888,0.3573307499952443,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.2857142857142857,18.98,7,61,3.21390937829294,90,4.7418335089567965," When it comes to women's rights, I voted already.  We're going to win these battles.  We're going to lift up these families, and it's going to start when I beat David McCormick.  Thanks very much.  in the United States Senate to advance the Women's Health Protection Act.  My opponent is unalterably opposed to that.  We'll never ever vote for that bill.",L,M
2024-09-01_20-49-21_UTC_Mike_Rogers_C_Y3KIDPGiL,2024/9/1,Mike Rogers,C_Y3KIDPGiL,0.8614540232049219,-0.3163569413621271,129.33099913755953,795.372959675352,1856.2192241777338,-0.022641608619486567,0.6397594756020838,-0.12032894576012156,0.00017691588693158683,0.0003104184237447122,0.0001671310815262181,0.02454569976224204,0.9590020280409832,0.003342408647516097,9.155244418120812e-05,16.134300775268002,0.10453321039505088,0.18730762525130987,0.3333333333333333,0.2962962962962963,0.1296296296296296,0.2407407407407407,256.9999319727891,54,787,3.062256809338521,1131,4.400778210116732," And again, the buy-in, listen, this is caused by Iran.  I mean, think of this, Shia nations giving money and weapons and training to a Sunni terrorist organization for the sole purpose of chaos and killings.  And so we need to stop that.  And I think everybody understands that kind of proxy fighting that Iran is backing needs to come to an end.  And I think we're going to agree on a very tight noose around Iran that will allow this all to stop and allow us to start helping the Palestinian people rebuild their lives.  That's where I think we can make a difference.  And it's several hundred thousand voters here that are really upset with Democrats, including my opponent.  Yeah. And I've I've met with Arab Muslim leaders in and around Dearborn.  And listen, this is an important part of our population and and they're important to the fabric of Michigan.  And I will tell you that there there is a way forward here.  Listen, they they're not happy with the Democrats for sure.  And I'll tell you why. The Democrats told them one thing.  Hey, I will be with you 100 percent and then went off and did something else.  That's what they're mad about here. And so they know someone like me.  I'm very honest with them. I come in and tell you what my position is and then say, how do we get this thing put back together?  Once Hamas is eliminated or at least degraded to the point where it's manageable and we can get the Palestinian people back on their feet.  I think we're obligated to help them do that.  And I think that's where we're forging some relationships with the several hundred thousand Arab Muslims in Dearborn and around the suburbs around Dearborn.  And so I think that's the path that we were we're talking about.  That's the path we need to take. And getting them engaged in the solution after this is over is really, really important.  Well, the first thing they need to do is begin a very harsh containment policy.  Well, I think, you know, the Harris getting on the ticket by, you know, by appointment  certainly has gymed up certain aspects of intensity across the Democrat coalitions.  But at the end of the day, we still have these big problems in Michigan.  People can't afford groceries at the end of the month.  People are planning the last two and three and four days of the month going to food pantries  because they can't stretch their paychecks.  They are, you know, almost half, 40 some percent are living paycheck to paycheck in Michigan.  And gas prices are still up.  Food prices are still up.  They're mandating EVs.  And the government intervening in the U.S. car domestic production has caused 2,400 layoffs  with Stellantis, 1,000 layoffs now just announced with General Motors.  We have Ford announcing it's going to have to close some of its assembly lines.  This is having a tremendous negative impact.  And people see it.  And so that is where this election is going to go.  Yes. You know, does it gin up some some support in certain factions of the Democrat?  Yes. Does it get their intensity up? Yes.  But that's why this this poll, we just had the poll come out, had us tied 43-43.  And that's why. I mean, people are scratching their heads saying, I just don't know if I can afford another four years of the Biden-Harris agenda.  on Iran. Without containing Iran, you've got to stop that cash flow that's going into Hamas,  it's going into Hezbollah. It's a bit of a clue that the leader of Hamas was killed in Tehran.  They are up to this in their eyeballs and causing most of the problems. So they need to start there  and they can do two things at once. And then you've got to allow Israel to finish up eliminating and  degrading as many Hamas terrorists as possible. And we've got to make sure that that happens so  that they don't have the legs to kind of do another event. If they just do those couple of  things, they need to get the Saudis back into the game with the Houthis. The Houthis have been  causing us all kinds of problems since the Biden administration took them off the terrorist list.  Saudi has not been able to go after the Houthis, even though they were attacking Saudi Arabia,  because the Biden administration decided that  they shouldn't have weapons systems. So you have this cauldron across the Middle East by  happening because of really bad decisions coming out of the  Democrats in Washington and certainly the Biden-Harris administration.",L,M
2024-09-01_23-05-03_UTC_Colin_Allred_C_ZG5JXP2LS,2024/9/1,Colin Allred,C_ZG5JXP2LS,0.8185997379032387,-0.2295774619255397,157.6747805848701,666.2746122869005,1774.8899029955069,-0.2490223920865605,0.5576208086413902,-0.05443365856703309,0.004269607559057276,0.0005317122959464216,2.241527657162561e-05,0.11865841037245867,0.8695593164542429,7.975521180681174e-05,0.00014237246663744186,37.401524914802,0.20459808202489535,0.2832483804644556,0.2352941176470588,0.4705882352941176,0.0588235294117647,0.2352941176470588,50.64,17,190,3.751974723538705,253,4.996050552922592," You know, that's a fundamental freedom.  But you're also right that, of course, this is largely a conversation that's been held among women.  This is really going too far.  And so I do think there's, I've seen some change there.  For fathers, for folks who want to be fathers, for if you want to decide when to start a family,  if you want to have that freedom, which we've always had in this country,  to be able to decide this is a good time for us to start a family.  We had an issue with our pregnancy and  Not that it's not incredibly important for women.  This is also an incredibly important issue for men.  firmly that this is not just a women's issue.  You know, I have talked to a lot of men here in Texas who I think would not consider themselves to be pro-choice.  Thank God everything worked out okay.  But if it hadn't, you know...  And I think that you and I, as dads and as men, we can say...  about and considered to be a women's issue.  but who have said to me, you know,",L,M
2024-09-02_20-13-04_UTC_Elissa_Slotkin_C_bX9EcSUu2,2024/9/2,Elissa Slotkin,C_bX9EcSUu2,0.873566307477927,-0.2880489417809429,259.9387273227475,939.9665835181753,1903.013311673238,0.3832813680901916,0.7972569483544616,-0.3721300803371754,0.014592820965217761,0.004741748876262912,0.019057872934505043,0.02358415445803122,0.8790190978566969,0.002055107399692172,0.007524274538443246,12.944134185742188,0.13032963648640686,0.23314106223034198,0.375,0.125,0.0,0.5,33.56399092970521,8,108,3.1395348837209305,151,4.3895348837209305," Do not give a single centimeter to the people who wrap themselves in the flag and then spit on the freedoms it represents.  So my message  And do not give an inch to the people who wrap themselves in the flag of the union and then spit on working people and the policies that make their lives better.  right, when they push for a better deal for themselves.  And there's nothing more American like American apple pie than joining a union.  My message here today is twofold.  We believe that our country is stronger when people are together,  when they push and pull on ideas, when they bargain.",W,F
2024-09-02_22-33-22_UTC_Ruben_Gallego_C_boEzIyp5D,2024/9/2,Ruben Gallego,C_boEzIyp5D,0.7351868391895912,-0.3604966760568016,134.75768088745318,637.7417019588869,1669.3653626756964,0.030741602264907276,0.6388366001858737,0.28846164726671575,5.61773501099968e-09,3.7065455826476463e-09,6.980281387668966e-10,1.592426498876124e-08,0.9999999481506064,1.4610199566490439e-08,3.747418802932689e-10,10.844546014766145,0.13175050084112078,0.23033344396556985,0.2,0.0,0.2,0.6,26.9,5,80,2.9739776951672865,128,4.758364312267658," All my cousins, currently my brother-in-law, my brother-in-law, my sisters, my sister-in-law are all in unions,  and they have great middle-class wages, and I just want to make sure that we continue to have that opportunity for Arizonans,  for them to be able to have good middle-class wages with a secure retirement, with a workplace that is protected and the rights are protected.  And when unions do well, working class America does well.  We actually have a real middle class.",W,M
2024-09-03_02-06-36_UTC_Tammy_Baldwin_C_cAbw4uDFA,2024/9/3,Tammy Baldwin,C_cAbw4uDFA,0.8761906943629945,-0.3192436848530325,316.76419729078316,1107.358566428531,2174.902195404207,0.44298496351128325,0.8038917740819208,-0.03674127326462414,0.6946262186248529,0.020020064186208133,0.0005955738959378411,0.0007667721292385726,0.28032820520702595,0.0004483537996446292,1.5155371348867002e-05,18.525752119807773,0.14137917462655114,0.2747903937122921,0.5714285714285714,0.1428571428571428,0.0,0.2857142857142857,28.32,7,75,2.6483050847457625,106,3.7429378531073447," Our workers do so much to keep our made-in-Wisconsin economy going strong  and to keep our state moving forward.  That's why I promise I'm always going to have your backs.  Wisconsin is home to the best workers in the world.  We make just about everything from paper to engines, from tools to ships, and from beer to brats and cheese and more.  And I'm going to say it again.  I always like to say this.",W,F
2024-09-03_15-02-13_UTC_Elissa_Slotkin_C_dZIZWONcm,2024/9/3,Elissa Slotkin,C_dZIZWONcm,0.5007817038809373,-0.280089302501624,250.74235020864876,772.317743015905,2155.655298609235,0.33554055737633265,0.7633160273844206,-0.24024122285180943,0.36110879691371073,0.009942223181357545,0.007405843797155567,0.008297463437305825,0.5485621449295984,0.003935141071551182,9.1687045915731e-05,23.835654480788786,0.08599479051225901,0.2756858807509263,0.5555555555555556,0.1111111111111111,0.0,0.3333333333333333,31.58,9,109,3.451551614946168,165,5.224825839138695," for our working parents trying to buy a home,  for our seniors whose Medicare and Social Security checks aren't going as far, right?  My sun and my moon, I'm a national security person by training, right?  My sun and my moon is that America has to be a place where anyone from anywhere can get into the middle class and beyond.  That is absolutely imperative.  We are a multiracial, multiethnic democracy.  If we can't.  have a place where anyone can work hard and get in the middle class, we're in trouble.  Right? And it's become harder to get in and stay in. For our young people dealing with debt.",W,F
