Folder,segment_name,date,name,keycode,VUV,Audio Length,Head,Mid,Tail,Intonation Type,mean_f0,MFCC0,arousal,dominance,valence,angry,disgusted,fearful,happy,neutral,sad,surprised,gender,F1,F2,speaker,source_segment,sentence_id,start_time,end_time,sentence_text,anger_t,disgust_t,fear_t,joy_t,neutral_t,sadness_t,surprise_t,Pred_t
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_69_75_01.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.782312925,1.54,250.539211003683,224.69396645793515,171.37177549024295,falling,215.53498431728704,-0.2069334685802459,-0.1282853098570171,0.57184494,-0.4590216674906007,5.0665453272813465e-06,2.245220275653992e-05,1.1360863027221058e-05,1.32728500830126e-05,0.9907653331756592,0.0089939441531896,8.672935109643731e-06,F,801.8102929379055,1925.9762907080992,SPEAKER_00,69_75,1,0.0,1.54, They're so afraid of what could happen.,0.008781082928180695,0.003175545483827591,0.833908200263977,0.0032097911462187767,0.10021968930959702,0.042504601180553436,0.008201113902032375,fear
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_69_75_02.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.913117544,3.04,239.44306256099688,185.2077161730257,150.50111870801024,falling,191.71729914734428,-0.2315646708011627,-0.1183311273329332,0.6241535,0.0419095084644751,0.0141694201156497,0.025125665590167,0.0015603152569383,0.0006202345830388,0.8815160393714905,0.0032383713405579,2.8647152703342726e-06,F,637.081296368582,1947.295987383095,SPEAKER_00,69_75,2,2.06,5.1000000000000005, Ruben Gallego wants to take qualified immunity away.,0.010170318186283112,0.005555466748774052,0.0035570976324379444,0.000806033203843981,0.9687188267707825,0.005277763120830059,0.005914434790611267,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_0_22_01.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.675102616,4.06,154.2306074315287,159.5214196059823,161.29958207708592,rising,158.35053637153229,-0.3218105733394623,-0.0410965247129198,0.66137105,0.0806938046508399,6.277760985540226e-05,0.0001834204740589,0.0001479748461861,0.1381525099277496,0.8553378582000732,0.0004722945741377,2.559618224040605e-06,F,812.7106885798714,2058.4412861300148,SPEAKER_00,0_22,1,0.0,4.0600000000000005," you put that vest on, you step out and you protect us.",0.018143439665436745,0.0005549254710786045,0.004618420731276274,0.01431192085146904,0.9602945446968079,0.0006565263029187918,0.0014201567973941565,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_0_22_02.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.872340427,3.38,181.5102960613032,205.8939875898357,189.6445313955519,rising-falling,192.3496050155636,-0.2707895934581756,-0.0160089774878449,0.6082151,-0.2413159846771214,6.928251394811015e-08,1.7760671155997443e-08,7.3470989292445665e-09,8.595517186904544e-08,0.9999997615814208,2.9024274539324324e-08,2.455690095715113e-09,F,675.1884988942625,2019.182351593781,SPEAKER_00,0_22,2,4.78,8.16," And you don't know what's coming up, what person you're going to pull over,",0.006450786255300045,0.0030030286870896816,0.010829394683241844,0.001989689888432622,0.9555176496505737,0.0015331768663600087,0.02067621238529682,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_0_22_03.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.730337076,0.86,176.54241145596808,160.23610312585984,139.06048350854775,falling,158.61299936345856,-0.2822660207748413,-0.2404244789905087,0.533889,-0.3735435968157565,2.574771860963665e-05,7.974346772243734e-06,5.831589078297839e-07,3.902404387190472e-06,0.9999455213546752,1.0697643119783606e-05,3.305873690351291e-07,F,828.2427522498632,1936.7346427264283,SPEAKER_00,0_22,3,8.28,9.14, what's going to happen.,0.002784967888146639,0.0006752366898581386,0.003685256000608206,0.001427888055332005,0.9737138152122498,0.0015631671994924545,0.01614959165453911,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_0_22_04.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.835748779,2.24,189.00742351152485,143.07777787313628,131.13153153022242,falling,154.40557763829452,-0.2616289258003235,-0.0668570212554924,0.69227684,0.5562385969659663,3.87907221011119e-06,8.696817985764937e-07,5.950619907935106e-08,3.3580886338313576e-06,0.9999892711639404,3.195172553205339e-07,1.7901147231214054e-08,F,802.2801585578823,2142.7120078190624,SPEAKER_00,0_22,4,9.58,11.82, And we appreciate your bravery and courage every day.,0.006858524866402149,0.001265924540348351,0.004961681552231312,0.4048188626766205,0.5595464706420898,0.002837397390976548,0.019711118191480637,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_0_22_05.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.889667252,2.94,174.7330436959011,163.61714535143113,158.95900911204245,falling,165.76973271979156,-0.3278867900371551,0.0327918196245984,0.68024546,-0.0704168495688628,8.959260640040156e-07,1.3354658676689724e-06,1.1511227739902097e-06,6.143693553894991e-06,0.9999690055847168,3.442647084739292e-06,2.2214237560547196e-08,F,725.6600940760811,1998.538423845803,SPEAKER_00,0_22,5,11.88,14.82, I want you to know that I will fight to protect qualified immunity.,0.12714821100234985,0.00403616763651371,0.010218332521617413,0.008438292890787125,0.843862771987915,0.005104391369968653,0.0011918788077309728,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_0_22_06.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.845225029,3.88,183.37103643108048,175.12019484473674,183.5478945319812,falling-rising,180.67970860259948,-0.2169149518013,0.0019825584078967,0.66333234,0.1694931429460732,2.235646334725061e-09,8.87213413847121e-10,1.5997256297417548e-10,1.9566501308077026e-08,1.0,2.478432570285349e-09,1.4804725501083027e-10,F,746.1555063527986,2054.94693725652,SPEAKER_00,0_22,6,15.34,19.22, I think you heard one of our previous speakers mention that Ruben Gallego,0.0003963360213674605,0.00024945425684563816,0.00017194270913023502,0.005612578708678484,0.988916277885437,0.0004124535480514169,0.004240916110575199,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_0_22_07.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.805285121,2.38,153.9412865013638,207.11270302863647,202.99595604375892,rising-falling,188.01664852458643,-0.3086000084877014,-0.1328371596941711,0.6139597,-0.1455133642165562,3.422060634861168e-09,6.916649197830083e-11,2.099672519184637e-11,1.4400235448519534e-09,1.0,1.046376318925013e-09,1.0925297472264004e-10,F,700.9234323513813,1903.5911986951912,SPEAKER_00,0_22,7,19.22,21.6, wants to get rid of qualified immunity.,0.0035071196034550667,0.003114802297204733,0.0005531859933398664,0.00255589303560555,0.9870004653930664,0.002469179453328252,0.0007993128965608776,neutral
2024-09-14_06-12-58_UTC_Kari_Lake_C_4xZsRKiYY,SPEAKER_00_34_43_01.wav,2024/9/14,Kari Lake,C_4xZsRKiYY,0.74845844,4.8,207.86645141647952,167.96406437256658,178.9925306753872,falling-rising,184.94101548814444,-0.2844701111316681,-0.1526962642360212,0.61116767,-0.2139571024659683,5.992054725664775e-14,2.115918160152633e-15,3.2206209651814153e-16,7.855552959425832e-14,1.0,1.7754734856802184e-13,3.0577872455221303e-14,F,727.9836634338424,2020.3455196945567,SPEAKER_00,34_43,1,0.0,4.8," Basically what that means is when an officer goes out there and is trying to protect us,",0.005095729138702154,0.001041133888065815,0.003342192154377699,0.006490282714366913,0.979134202003479,0.001716124708764255,0.0031802947632968426,neutral
