date,party,state,name,keycode,win,gender,AU01_mean,AU02_mean,AU04_mean,AU06_mean,AU12_mean,AU15_mean,AU20_mean,AU25_mean,pitch_count_percentage,roll_count_percentage,yaw_count_percentage,valence_mean,valence_std,arousal_mean,arousal_std,anger_percentage,disgust_percentage,fear_percentage,happiness_percentage,sadness_percentage,surprise_percentage,neutral_percentage,mean_f0,std_f0,VUV,speaking_rate_w,MFCC0,F1,F2,falling_ratio,rising_ratio,rising-falling_ratio,falling-rising_ratio,arousal,valence,std_arousal,std_valence,post_likes,post_comments,post_likes_zscore,post_comments_zscore,post_likes_clean,likes_by_follower,likes_by_follower_zscore,comments_by_follower,comments_by_follower_zscore,engagement_rate,engagement_rate_zscore,cluster_va,cluster_a,cluster_v,topic,emotion,highest,text,people_centrism,anti_elitism,left_wing,right_wing,elite,centr,left,right,popp,popornot,comment_count,comment_score_pos,comment_score_neg,comment_score_neu,post_date,follower_date,7days_followers,7days_followers_zscore
2024-09-01,Democratic,Texas,Colin Allred,C_YJAkbRWX8,0,M,0.332164917,0.201937691,0.542192938,0.236255136,0.198344602,0.425571954,0.606557377,0.714224709,0.426229508,0.37704918,0.344262295,-0.385062016,0.214811592,0.392178422,0.133086994,0.704918033,0.213114754,0.0,0.0,0.0,0.0,0.081967213,0.348203188,1.319586537,-0.168546011,0.621106745,0.697658827,1.532931529,0.212815292,-1.137116012,-0.868879692,-0.826769187,2.927953859,1.158141482,-0.466955181,1.746658952,0.09013693,667,21,-0.40720270173675355,-0.46493364127307735,667.0,0.015116832490991093,-0.24944048147026707,0.0002266391677809759,-0.41559180326222617,0.015592774743331142,0.5102764251884562,happy cheerful,Energetic,angry,Abortion,anger,0.704918033,"This is a close race.  then you should lose your job.  You helped elect the legislators who passed these laws at the state level  because you called for these laws to be passed.  You celebrated when they were passed.  You know what this margin is?  This is a margin that you can make happen, that we can make happen.",0,0,0,0,0.019538961,0.00319321,0.0016680832,0.0029698194,none,0,10,0.547561116,0.310856258,0.14158264,2024-09-01,2024-09-08,44123,-1.7091448868870083
2024-09-01,Democratic,Texas,Colin Allred,C_ZG5JXP2LS,0,M,0.455683345,0.356065558,0.225328493,0.150793631,0.141364719,0.459189968,0.52970297,0.555727798,0.618811881,0.603960396,0.638613861,-0.2877123,0.215715569,0.323000955,0.089774073,0.46039604,0.202970297,0.004950495,0.0,0.0,0.103960396,0.227722772,-0.234465167,1.026986205,-0.017879116,0.455657496,0.290586288,-0.515808348,-0.498151376,-0.664103518,-0.370767479,-0.244535884,1.363479326,-1.386896451,0.212182483,1.352538493,0.815875602,533,51,-0.4953925082880005,-0.3173087259783411,533.0,0.012079867642726016,-0.3849435732428041,0.00038528658522765907,-0.19084307462809286,0.013235727398408993,0.4755016619723646,surprised rapid,Rapid,angry,Abortion,anger,0.46039604,"You know, that's a fundamental freedom.  But you're also right that, of course, this is largely a conversation that's been held among women.  This is really going too far.  And so I do think there's, I've seen some change there.  For fathers, for folks who want to be fathers, for if you want to decide when to start a family,  if you want to have that freedom, which we've always had in this country,  to be able to decide this is a good time for us to start a family.  We had an issue with our pregnancy and  Not that it's not incredibly important for women.  This is also an incredibly important issue for men.  firmly that this is not just a women's issue.  You know, I have talked to a lot of men here in Texas who I think would not consider themselves to be pro-choice.  Thank God everything worked out okay.  But if it hadn't, you know...  And I think that you and I, as dads and as men, we can say...  about and considered to be a women's issue.  but who have said to me, you know,",0,0,0,0,0.0028936998,0.036431137,0.012694918,0.002904168,none,0,17,0.204827701,0.542696655,0.252475645,2024-09-01,2024-09-08,44123,-1.7091448868870083
2024-09-01,Democratic,Michigan,Elissa Slotkin,C_YRR3ZviLI,1,F,0.510263302,0.181973458,0.725370488,0.248913349,0.124164749,0.448273446,0.571428571,0.825847364,0.532467532,0.493506494,0.311688312,-0.500951237,0.156082274,0.514523484,0.174193405,0.233766234,0.272727273,0.077922078,0.0,0.38961039,0.025974026,0.0,2.598213883,0.276210202,-5.106670083,-0.056968452,-0.595014011,0.302953255,0.812943238,-0.007358899,-0.099069908,-1.15397468,1.26048884,1.350142843,0.812536605,-0.532460895,0.063295448,331,22,-0.186667703894378,-0.25524095986156603,331.0,0.016028279502203282,-0.18495063671717993,0.00029054283085564863,-0.2525190858080415,0.01709360321534066,0.3996651998720356,sad calm,Articulate,fear,Candidate Endorsements,sadness,0.38961039,"I wanna be a part of that different generation.  I keep telling people,  Gen X and the millennials are coming to the Senate.  and be a part of that generation that plays more offense.  So that instead of talking about their project 2025,  we have our project 2025, right?  Instead of waiting for their terrible state laws,  we show them our good state laws.  We have a plan and a strategy.  That comes from my prior life.  I wanna bring that into my future life.",0,0,0,0,0.012878942,0.0962705,0.0020650623,0.003911365,none,0,6,0.531935787,0.176966664,0.291097535,2024-09-01,2024-09-08,20651,-1.1056971282399217
2024-09-01,Republican,Pennsylvania,Dave McCormick,C_YUfsLO9Zb,1,M,0.507448784,0.247133807,0.710658306,0.228581112,0.262819511,0.586894993,0.294871795,0.84608503,0.570512821,0.608974359,0.583333333,-0.362471206,0.167435306,0.297171841,0.090791149,0.647435897,0.128205128,0.0,0.006410256,0.044871795,0.166666667,0.006410256,-1.312330636,0.326334124,-1.361364234,-1.388521717,0.336078298,0.008520377,-0.30949353,-0.503565945,-0.304352517,0.372984286,0.482338498,-1.768059226,-0.408682554,-0.292811341,0.638261866,134,1,-0.4694500348202482,-0.5188172252806836,134.0,0.25,1.1859916737580591,0.0018656716417910447,-0.32668954212002904,0.251865671641791,0.9935473231221126,sad calm,Rapid,angry,Immigration,anger,0.647435897,"at this horribly difficult time and praying.  of hersh goldberg poland and uh...  precious supporters and friends many times on the weekend vigils in Pittsburgh.  that we need to bring our hostages home.  and more vigilant than ever.  Dina and I were just heartbroken to learn this morning.  for them, praying for them.  and had a chance to pray with  and support Israel in doing so.  Dean and I had a chance to meet with Hersh's mom and dad in Israel early in the new year,  John and Rachel.  and five other hostages yesterday by Hamas.  The absolute murder, just a reminder of the viciousness, the brutality,  the absolute evil of Hamas and the need to eradicate Hamas.  We're just so heartbroken.",0,0,0,0,0.003584626,0.05616378,0.0071571823,0.0033025353,none,0,1,0.98216254,0.002568791,0.015268685,2024-09-01,2024-09-08,536,-0.9946856451642498
2024-09-01,Democratic,Pennsylvania,Bob Casey,C_Yx639B6jz,0,M,0.432872649,0.220494786,0.65355905,0.23691797,0.200271479,0.360381007,0.591836735,0.615237328,0.551020408,0.530612245,0.408163265,-0.180222135,0.257603096,0.191852244,0.187837407,0.551020408,0.020408163,0.06122449,0.204081633,0.0,0.020408163,0.142857143,-0.090090162,-0.53033782,0.66412494,-0.668447693,-1.498154337,-0.958313831,-1.159545431,-1.137116012,0.340821397,0.073045918,1.093742338,0.650645358,-0.79573342,1.116961222,1.91038522,135,3,-0.2846440745146989,-0.4178942975812956,135.0,0.006533417219184049,-0.28406275807566345,0.00014518704931520108,-0.41614692647948165,0.00667860426849925,0.48354534072162464,happy cheerful,Energetic,angry,Economic,anger,0.551020408,"When it comes to women's rights, I voted already.  We're going to win these battles.  We're going to lift up these families, and it's going to start when I beat David McCormick.  Thanks very much.  in the United States Senate to advance the Women's Health Protection Act.  My opponent is unalterably opposed to that.  We'll never ever vote for that bill.",1,0,1,0,0.13158943,0.7351915,0.75809264,0.0033205634,centr,1,3,0.111694162,0.449903617,0.438402217,2024-09-01,2024-09-08,20663,-1.4528903764175518
2024-09-01,Republican,Michigan,Mike Rogers,C_Y3KIDPGiL,0,M,0.365984908,0.277945498,0.661153701,0.073389808,0.042959525,0.525469325,0.030418251,0.242653662,0.593155894,0.586501901,0.619771863,-0.277305981,0.142329963,0.340184984,0.136613845,0.171102662,0.023764259,0.00095057,0.00095057,0.603612167,0.159695817,0.039923954,-0.985362701,-0.471864595,0.644925666,-0.98527434,-0.883726723,0.36027996,-0.188460328,-0.162423601,0.228812037,-0.210229208,0.244570337,-0.263301157,-0.226421211,-0.548983783,-0.601574731,75,9,-0.13391765625857804,0.22927864647626486,75.0,1.6304347826086956,4.503955410444406,0.13043478260869565,3.4599472865341068,1.826086956521739,-0.05752926217938589,sad calm,Calm,sad,Campaign Strategies(mix),sadness,0.603612167,"And again, the buy-in, listen, this is caused by Iran.  I mean, think of this, Shia nations giving money and weapons and training to a Sunni terrorist organization for the sole purpose of chaos and killings.  And so we need to stop that.  And I think everybody understands that kind of proxy fighting that Iran is backing needs to come to an end.  And I think we're going to agree on a very tight noose around Iran that will allow this all to stop and allow us to start helping the Palestinian people rebuild their lives.  That's where I think we can make a difference.  And it's several hundred thousand voters here that are really upset with Democrats, including my opponent.  Yeah. And I've I've met with Arab Muslim leaders in and around Dearborn.  And listen, this is an important part of our population and and they're important to the fabric of Michigan.  And I will tell you that there there is a way forward here.  Listen, they they're not happy with the Democrats for sure.  And I'll tell you why. The Democrats told them one thing.  Hey, I will be with you 100 percent and then went off and did something else.  That's what they're mad about here. And so they know someone like me.  I'm very honest with them. I come in and tell you what my position is and then say, how do we get this thing put back together?  Once Hamas is eliminated or at least degraded to the point where it's manageable and we can get the Palestinian people back on their feet.  I think we're obligated to help them do that.  And I think that's where we're forging some relationships with the several hundred thousand Arab Muslims in Dearborn and around the suburbs around Dearborn.  And so I think that's the path that we were we're talking about.  That's the path we need to take. And getting them engaged in the solution after this is over is really, really important.  Well, the first thing they need to do is begin a very harsh containment policy.  Well, I think, you know, the Harris getting on the ticket by, you know, by appointment  certainly has gymed up certain aspects of intensity across the Democrat coalitions.  But at the end of the day, we still have these big problems in Michigan.  People can't afford groceries at the end of the month.  People are planning the last two and three and four days of the month going to food pantries  because they can't stretch their paychecks.  They are, you know, almost half, 40 some percent are living paycheck to paycheck in Michigan.  And gas prices are still up.  Food prices are still up.  They're mandating EVs.  And the government intervening in the U.S. car domestic production has caused 2,400 layoffs  with Stellantis, 1,000 layoffs now just announced with General Motors.  We have Ford announcing it's going to have to close some of its assembly lines.  This is having a tremendous negative impact.  And people see it.  And so that is where this election is going to go.  Yes. You know, does it gin up some some support in certain factions of the Democrat?  Yes. Does it get their intensity up? Yes.  But that's why this this poll, we just had the poll come out, had us tied 43-43.  And that's why. I mean, people are scratching their heads saying, I just don't know if I can afford another four years of the Biden-Harris agenda.  on Iran. Without containing Iran, you've got to stop that cash flow that's going into Hamas,  it's going into Hezbollah. It's a bit of a clue that the leader of Hamas was killed in Tehran.  They are up to this in their eyeballs and causing most of the problems. So they need to start there  and they can do two things at once. And then you've got to allow Israel to finish up eliminating and  degrading as many Hamas terrorists as possible. And we've got to make sure that that happens so  that they don't have the legs to kind of do another event. If they just do those couple of  things, they need to get the Saudis back into the game with the Houthis. The Houthis have been  causing us all kinds of problems since the Biden administration took them off the terrorist list.  Saudi has not been able to go after the Houthis, even though they were attacking Saudi Arabia,  because the Biden administration decided that  they shouldn't have weapons systems. So you have this cauldron across the Middle East by  happening because of really bad decisions coming out of the  Democrats in Washington and certainly the Biden-Harris administration.",1,0,0,0,0.40756956,0.5691359,0.030711608,0.122676685,centr,1,6,0.153361076,0.674206492,0.17243245,2024-09-01,2024-09-08,46,-1.6576084344752284
2024-09-02,Democratic,Michigan,Elissa Slotkin,C_bX9EcSUu2,1,F,0.531053215,0.420271581,0.27274355,0.193364595,0.14628363,0.401197544,0.618421053,0.473026983,0.519736842,0.546052632,0.407894737,-0.281290104,0.180328028,0.547331198,0.149590785,0.572368421,0.098684211,0.019736842,0.013157895,0.098684211,0.197368421,0.0,2.474762096,-0.696698062,0.832260021,-0.823827994,-0.500658601,1.341522445,-0.010274776,0.050790364,-0.868879692,1.422768575,-0.855107403,1.75141555,-1.90242738,-0.058776999,0.075578793,135,2,-0.28861439941577904,-0.4628532238637968,135.0,0.006537846869097777,-0.2871012319371767,4.84284953266502e-05,-0.46088853811502606,0.006634703859751077,0.6724270945645103,neutral articulate,Articulate,angry,Candidate Endorsements,anger,0.572368421,"Do not give a single centimeter to the people who wrap themselves in the flag and then spit on the freedoms it represents.  So my message  And do not give an inch to the people who wrap themselves in the flag of the union and then spit on working people and the policies that make their lives better.  right, when they push for a better deal for themselves.  And there's nothing more American like American apple pie than joining a union.  My message here today is twofold.  We believe that our country is stronger when people are together,  when they push and pull on ideas, when they bargain.",1,1,0,0,0.80784875,0.97459996,0.1036309,0.09039386,both,1,1,0.96644765,0.004289747,0.029262636,2024-09-02,2024-09-09,20649,-1.1175451277231105
2024-09-02,Democratic,Arizona,Ruben Gallego,C_boEzIyp5D,1,M,0.519922111,0.314857132,0.261774314,0.101358135,0.05854011,0.303568038,0.378947368,0.630399781,0.505263158,0.547368421,0.347368421,0.238393841,0.108916615,0.293359226,0.180503921,0.136842105,0.0,0.0,0.157894737,0.0,0.410526316,0.294736842,-0.841596353,-0.844670801,-1.307982726,-1.169703632,-1.481032274,-0.709438628,-0.899974544,-0.844708288,0.824701833,2.052639148,-1.657574944,0.001655628,2.494517901,-0.031776463,0.034098408,331,19,-0.22058878311950628,-0.36378404670833986,331.0,0.027256258234519104,-0.07787622207298472,0.0010704874835309618,-0.31059999161528806,0.028820816864295124,0.4030502387387297,surprised rapid,Calm,surprised,Candidate Endorsements,surprise,0.410526316,"All my cousins, currently my brother-in-law, my brother-in-law, my sisters, my sister-in-law are all in unions,  and they have great middle-class wages, and I just want to make sure that we continue to have that opportunity for Arizonans,  for them to be able to have good middle-class wages with a secure retirement, with a workplace that is protected and the rights are protected.  And when unions do well, working class America does well.  We actually have a real middle class.",1,0,1,0,0.0034535795,0.9727842,0.59265906,0.012203429,centr,1,13,0.56713025,0.242599327,0.190270405,2024-09-02,2024-09-09,12144,-1.4498759054368298
2024-09-03,Democratic,Wisconsin,Tammy Baldwin,C_cAbw4uDFA,1,F,0.317986866,0.216334284,0.509628253,0.315153908,0.332687044,0.392889427,0.671232877,0.66238871,0.383561644,0.383561644,0.438356164,-0.174385134,0.260975736,0.227626652,0.171876953,0.575342466,0.136986301,0.0,0.205479452,0.054794521,0.01369863,0.01369863,3.980210668,-0.303322206,0.872850039,-1.850086181,-0.922790572,2.47747935,1.025041297,1.055941913,-0.868879692,0.073045918,-0.740469183,2.047742287,0.329944251,0.151196217,0.6909154,341,11,-0.5480886902673333,-0.6938142516994557,341.0,0.044320249545100075,-0.52269144290388,0.0005198856251624642,-0.6598505457567925,0.045749935014296854,0.700375221967397,happy cheerful,Articulate,angry,Candidate Endorsements,anger,0.575342466,"Our workers do so much to keep our made-in-Wisconsin economy going strong  and to keep our state moving forward.  That's why I promise I'm always going to have your backs.  Wisconsin is home to the best workers in the world.  We make just about everything from paper to engines, from tools to ships, and from beer to brats and cheese and more.  And I'm going to say it again.  I always like to say this.",1,0,0,0,0.010297662,0.99223703,0.15067942,0.04820504,centr,1,4,0.715817256,0.238818768,0.045363964,2024-09-03,2024-09-10,7694,-1.7731965709440827
2024-09-03,Democratic,Michigan,Elissa Slotkin,C_dZIZWONcm,1,F,0.481582186,0.160386658,0.712901824,0.224880316,0.129884713,0.433217178,0.49137931,0.789847814,0.465517241,0.439655172,0.336206897,-0.45665694,0.166924033,0.50465642,0.172157507,0.336206897,0.103448276,0.129310345,0.00862069,0.353448276,0.034482759,0.034482759,2.231127107,0.070903944,-4.933404163,-0.171974776,-0.392947561,0.203822452,0.951751719,0.974717545,-0.868879692,0.372984286,-0.944270463,1.514463679,-1.024565812,-0.901267434,0.704145527,110,1,-0.30161780445677405,-0.504375676664243,110.0,0.005326876513317191,-0.3001355526493063,0.0,-0.5025672723593966,0.005375302663438257,0.7250613188546906,sad calm,Articulate,fear,Economic,sadness,0.353448276,"for our working parents trying to buy a home,  for our seniors whose Medicare and Social Security checks aren't going as far, right?  My sun and my moon, I'm a national security person by training, right?  My sun and my moon is that America has to be a place where anyone from anywhere can get into the middle class and beyond.  That is absolutely imperative.  We are a multiracial, multiethnic democracy.  If we can't.  have a place where anyone can work hard and get in the middle class, we're in trouble.  Right? And it's become harder to get in and stay in. For our young people dealing with debt.",1,0,1,0,0.006844532,0.95708984,0.9129981,0.020012787,centr,1,0,,,,2024-09-03,2024-09-10,20650,-1.1116211279815162
